,MSE,PSNR,SSIM
BraTS-GLI-00001-000,0.00625250767916441,22.039457321166992,0.7763480544090271
BraTS-GLI-00001-001,0.010759061202406883,19.6822566986084,0.7099910378456116
BraTS-GLI-00013-000,0.008252405561506748,20.83419418334961,0.8917937278747559
BraTS-GLI-00013-001,0.00487830676138401,23.117307662963867,0.9025903940200806
BraTS-GLI-00015-000,0.003953749779611826,24.0299072265625,0.8675333857536316
BraTS-GLI-00015-001,0.007801172323524952,21.078399658203125,0.818709671497345
BraTS-GLI-00027-000,0.003599846735596657,24.437158584594727,0.8064599633216858
BraTS-GLI-00037-000,0.0038067959249019623,24.19440269470215,0.880121648311615
BraTS-GLI-00047-000,0.007886362262070179,21.031232833862305,0.8677247166633606
BraTS-GLI-00079-000,0.0023035292979329824,26.376060485839844,0.8865052461624146
BraTS-GLI-00080-000,0.00028276394004933536,35.48575973510742,0.9992395043373108
BraTS-GLI-00080-001,0.0025386279448866844,25.954008102416992,0.9936485886573792
BraTS-GLI-00082-000,0.01649501547217369,17.826473236083984,0.70836341381073
BraTS-GLI-00091-000,0.010744490660727024,19.688140869140625,0.7183824181556702
BraTS-GLI-00114-000,0.00016807021165732294,37.74509048461914,0.998993992805481
BraTS-GLI-00119-000,0.011015224270522594,19.58006477355957,0.7847210168838501
BraTS-GLI-00125-000,0.0010593377519398928,29.74965476989746,0.8685047626495361
BraTS-GLI-00129-000,0.00351626961492002,24.53917694091797,0.8488062620162964
BraTS-GLI-00135-000,0.007788793183863163,21.085296630859375,0.7405976057052612
BraTS-GLI-00141-000,0.0005854578921571374,32.325042724609375,0.9782249331474304
BraTS-GLI-00145-000,0.00202212599106133,26.94191551208496,0.9028578400611877
BraTS-GLI-00153-000,0.011780105531215668,19.28850746154785,0.6936497092247009
BraTS-GLI-00161-000,0.013479404151439667,18.703292846679688,0.7462853789329529
BraTS-GLI-00163-000,0.005572191905230284,22.539737701416016,0.8028873205184937
BraTS-GLI-00174-000,0.006158327218145132,22.105371475219727,0.773047149181366
BraTS-GLI-00181-000,0.004843704402446747,23.148221969604492,0.9029830694198608
BraTS-GLI-00182-000,0.0035490570589900017,24.498868942260742,0.8748356103897095
BraTS-GLI-00190-000,0.006437201518565416,21.913028717041016,0.8072611093521118
BraTS-GLI-00200-000,0.003898441791534424,24.091087341308594,0.9681780934333801
BraTS-GLI-00208-000,0.008927485905587673,20.492706298828125,0.7808414101600647
BraTS-GLI-00213-000,0.005269524175673723,22.782285690307617,0.7076569199562073
BraTS-GLI-00229-000,0.0035736069548875093,24.468931198120117,0.9938102960586548
BraTS-GLI-00252-000,0.004235450644046068,23.731000900268555,0.8424304723739624
BraTS-GLI-00256-000,0.007849723100662231,21.051456451416016,0.7647580504417419
BraTS-GLI-00264-000,0.0018546966603025794,27.317270278930664,0.9851459264755249
BraTS-GLI-00287-000,0.010364868678152561,19.8443603515625,0.713350772857666
BraTS-GLI-00307-000,0.0011372335720807314,29.44150161743164,0.9338975548744202
BraTS-GLI-00323-000,0.0016282062279060483,27.882904052734375,0.9860469698905945
BraTS-GLI-00333-000,0.007352930027991533,21.33539390563965,0.7797489166259766
BraTS-GLI-00335-000,0.006660120561718941,21.765178680419922,0.8163818120956421
BraTS-GLI-00337-000,0.009298517368733883,20.31586265563965,0.7289966344833374
BraTS-GLI-00355-000,0.0034900768660008907,24.5716495513916,0.98296058177948
BraTS-GLI-00372-000,0.0036093012895435095,24.425765991210938,0.8992153406143188
BraTS-GLI-00381-000,0.0035137252416461706,24.542322158813477,0.976059079170227
BraTS-GLI-00384-000,0.008351417258381844,20.782398223876953,0.6980846524238586
BraTS-GLI-00422-000,0.005488366819918156,22.605566024780273,0.7943841814994812
BraTS-GLI-00428-000,0.004321248736232519,23.64390754699707,0.8384855389595032
BraTS-GLI-00434-000,0.001982250018045306,27.028413772583008,0.9449544548988342
BraTS-GLI-00438-000,0.008352009579539299,20.782089233398438,0.800640881061554
BraTS-GLI-00447-000,0.012630323879420757,18.98585319519043,0.627998948097229
BraTS-GLI-00450-000,0.0053767054341733456,22.694835662841797,0.8885136842727661
BraTS-GLI-00458-000,0.008466742001473904,20.722835540771484,0.8704462647438049
BraTS-GLI-00460-000,0.005431844387203455,22.65052604675293,0.7972490191459656
BraTS-GLI-00462-000,0.00105055863969028,29.785795211791992,0.9956724047660828
BraTS-GLI-00462-001,0.0027210055850446224,25.6527042388916,0.974814772605896
BraTS-GLI-00463-000,0.012874240055680275,18.902782440185547,0.763152539730072
BraTS-GLI-00467-000,0.020463930442929268,16.890108108520508,0.6883567571640015
BraTS-GLI-00467-001,0.006266039330512285,22.030067443847656,0.82425856590271
BraTS-GLI-00474-000,0.010347395204007626,19.8516902923584,0.779839813709259
BraTS-GLI-00474-001,0.005829112604260445,22.34397315979004,0.8572285771369934
BraTS-GLI-00489-000,0.011412756517529488,19.42609214782715,0.8199188709259033
BraTS-GLI-00492-000,0.009843697771430016,20.068416595458984,0.8207476735115051
BraTS-GLI-00503-000,0.012711084447801113,18.958173751831055,0.7189236283302307
BraTS-GLI-00503-001,0.005926426034420729,22.272069931030273,0.7762816548347473
BraTS-GLI-00521-000,0.009149662218987942,20.385948181152344,0.9080572724342346
BraTS-GLI-00521-001,0.0005470783216878772,32.619503021240234,0.9519028663635254
BraTS-GLI-00535-000,0.005514152348041534,22.58521270751953,0.9626225233078003
BraTS-GLI-00535-001,0.013362967409193516,18.740970611572266,0.7616106271743774
BraTS-GLI-00553-000,0.007491815835237503,21.25412940979004,0.7839693427085876
