,MSE,PSNR,SSIM
BraTS-GLI-00001-000,0.006044801790267229,22.18617820739746,0.7797082662582397
BraTS-GLI-00001-001,0.01074695773422718,19.687143325805664,0.7082815170288086
BraTS-GLI-00013-000,0.008382116444408894,20.766462326049805,0.8900442123413086
BraTS-GLI-00013-001,0.004878513514995575,23.117122650146484,0.9018641114234924
BraTS-GLI-00015-000,0.0035843513906002045,24.455894470214844,0.8772996664047241
BraTS-GLI-00015-001,0.007845171727240086,21.053974151611328,0.8103635311126709
BraTS-GLI-00027-000,0.0034980219788849354,24.5617733001709,0.8053669333457947
BraTS-GLI-00037-000,0.0038190502673387527,24.180444717407227,0.8812153339385986
BraTS-GLI-00047-000,0.007737104315310717,21.114213943481445,0.8697577118873596
BraTS-GLI-00079-000,0.0022918623872101307,26.398113250732422,0.8871457576751709
BraTS-GLI-00080-000,0.0002509950427338481,36.00334548950195,0.9993039965629578
BraTS-GLI-00080-001,0.002041214844211936,26.901111602783203,0.9941775798797607
BraTS-GLI-00082-000,0.01602751947939396,17.951335906982422,0.7087900638580322
BraTS-GLI-00091-000,0.010594016872346401,19.749391555786133,0.7149941325187683
BraTS-GLI-00114-000,0.00017509817553218454,37.56718063354492,0.9988846182823181
BraTS-GLI-00119-000,0.01128739956766367,19.47406005859375,0.7819654941558838
BraTS-GLI-00125-000,0.0010395809076726437,29.8314151763916,0.8679319024085999
BraTS-GLI-00129-000,0.0033666747622191906,24.72798728942871,0.8522278070449829
BraTS-GLI-00135-000,0.007691796403378248,21.139720916748047,0.7429777979850769
BraTS-GLI-00141-000,0.0005309011321514845,32.74986267089844,0.9799416661262512
BraTS-GLI-00145-000,0.0020250617526471615,26.93561553955078,0.9029843211174011
BraTS-GLI-00153-000,0.011721869930624962,19.310029983520508,0.6973828077316284
BraTS-GLI-00161-000,0.013526329770684242,18.688199996948242,0.7458091974258423
BraTS-GLI-00163-000,0.0053733824752271175,22.69752311706543,0.8033527731895447
BraTS-GLI-00174-000,0.005928914062678814,22.270248413085938,0.7763350605964661
BraTS-GLI-00181-000,0.004515213426202536,23.453216552734375,0.9088918566703796
BraTS-GLI-00182-000,0.003362115006893873,24.73387336730957,0.8769341111183167
BraTS-GLI-00190-000,0.006122698076069355,22.130569458007812,0.8091197609901428
BraTS-GLI-00200-000,0.0034780390560626984,24.586654663085938,0.9694061279296875
BraTS-GLI-00208-000,0.008825699798762798,20.54250717163086,0.782667338848114
BraTS-GLI-00213-000,0.005260000471025705,22.790142059326172,0.7121800184249878
BraTS-GLI-00229-000,0.00298430141992867,25.251571655273438,0.9946205615997314
BraTS-GLI-00252-000,0.004077746998518705,23.895795822143555,0.8473560214042664
BraTS-GLI-00256-000,0.007804263383150101,21.076679229736328,0.7680516242980957
BraTS-GLI-00264-000,0.0014041323447600007,28.525917053222656,0.9887135028839111
BraTS-GLI-00287-000,0.010305413044989109,19.86934471130371,0.7180244326591492
BraTS-GLI-00307-000,0.0010825819335877895,29.6553897857666,0.9346811175346375
BraTS-GLI-00323-000,0.0013945180689916015,28.555757522583008,0.9873303174972534
BraTS-GLI-00333-000,0.007172922603785992,21.443038940429688,0.7826788425445557
BraTS-GLI-00335-000,0.0063466704450547695,21.974538803100586,0.8214243650436401
BraTS-GLI-00337-000,0.009039021097123623,20.438785552978516,0.7322539687156677
BraTS-GLI-00355-000,0.0031975458841770887,24.951831817626953,0.9844747185707092
BraTS-GLI-00372-000,0.003026629565283656,25.190404891967773,0.9002851843833923
BraTS-GLI-00381-000,0.0031836170237511396,24.97079086303711,0.978220522403717
BraTS-GLI-00384-000,0.008183587342500687,20.870561599731445,0.7085517644882202
BraTS-GLI-00422-000,0.005387752316892147,22.685922622680664,0.7938569188117981
BraTS-GLI-00428-000,0.004063157830387354,23.91136360168457,0.842257022857666
BraTS-GLI-00434-000,0.001843203674070537,27.34426498413086,0.9446695446968079
BraTS-GLI-00438-000,0.00827865395694971,20.820402145385742,0.8008947372436523
BraTS-GLI-00447-000,0.012673703022301197,18.970964431762695,0.6440660357475281
BraTS-GLI-00450-000,0.005503798369318247,22.593374252319336,0.8886836171150208
BraTS-GLI-00458-000,0.008213289082050323,20.854827880859375,0.8740963339805603
BraTS-GLI-00460-000,0.004886653274297714,23.10988426208496,0.8075713515281677
BraTS-GLI-00462-000,0.0011345631210133433,29.451711654663086,0.9953188300132751
BraTS-GLI-00462-001,0.0025937792379409075,25.86067008972168,0.9755164980888367
BraTS-GLI-00463-000,0.012742238119244576,18.947542190551758,0.7642140984535217
BraTS-GLI-00467-000,0.02030958980321884,16.922988891601562,0.6974727511405945
BraTS-GLI-00467-001,0.006017149426043034,22.206090927124023,0.8238773345947266
BraTS-GLI-00474-000,0.009834077209234238,20.072662353515625,0.787100076675415
BraTS-GLI-00474-001,0.005102459341287613,22.922204971313477,0.8647742867469788
BraTS-GLI-00489-000,0.010745586827397346,19.687698364257812,0.8248031139373779
BraTS-GLI-00492-000,0.009272432886064053,20.328062057495117,0.8274760246276855
BraTS-GLI-00503-000,0.012393873184919357,19.067928314208984,0.7256150841712952
BraTS-GLI-00503-001,0.005960096139460802,22.247467041015625,0.7789479494094849
BraTS-GLI-00521-000,0.008182406425476074,20.87118911743164,0.911196231842041
BraTS-GLI-00521-001,0.000549361458979547,32.601417541503906,0.952118992805481
BraTS-GLI-00535-000,0.004668971989303827,23.30778694152832,0.9692690968513489
BraTS-GLI-00535-001,0.013050741516053677,18.843647003173828,0.7640366554260254
BraTS-GLI-00553-000,0.007361740805208683,21.3301944732666,0.7846401929855347
BraTS-GLI-00553-001,0.010004089213907719,19.99822235107422,0.7041921019554138
BraTS-GLI-00560-000,0.015917157754302025,17.98134422302246,0.703166663646698
BraTS-GLI-00560-001,0.005224906373769045,22.8192138671875,0.8294768929481506
BraTS-GLI-00573-000,0.0004180811520200223,33.787391662597656,0.9981634616851807
BraTS-GLI-00585-000,0.0027455647941678762,25.61368179321289,0.8854629993438721
BraTS-GLI-00592-000,0.008258749730885029,20.830856323242188,0.7631617188453674
BraTS-GLI-00595-000,0.011312312446534634,19.46448516845703,0.7328035235404968
BraTS-GLI-00603-000,0.016456816345453262,17.8365421295166,0.6328494548797607
BraTS-GLI-00644-000,0.006038469262421131,22.190731048583984,0.8579962253570557
BraTS-GLI-00647-000,0.009218733757734299,20.353286743164062,0.8715484142303467
BraTS-GLI-00647-001,0.004909259267151356,23.089839935302734,0.9174044132232666
BraTS-GLI-00662-000,0.010440410114824772,19.812822341918945,0.7501071095466614
BraTS-GLI-00671-000,0.018448835238814354,17.340309143066406,0.6947203874588013
BraTS-GLI-00681-000,0.0019286384340375662,27.147489547729492,0.9485895037651062
BraTS-GLI-00699-000,0.010039355605840683,19.982940673828125,0.6463245749473572
BraTS-GLI-00699-001,0.003768779570236802,24.237991333007812,0.841668963432312
BraTS-GLI-00702-000,0.014106146059930325,18.50591468811035,0.7143330574035645
BraTS-GLI-00702-001,0.0014565404271706939,28.366771697998047,0.8655351400375366
BraTS-GLI-00712-000,0.01163900550454855,19.34084129333496,0.7427142858505249
BraTS-GLI-00712-001,0.00640794076025486,21.93281364440918,0.8404768109321594
BraTS-GLI-00719-000,0.0038889178540557623,24.10171127319336,0.9718507528305054
BraTS-GLI-00719-001,0.0033026961609721184,24.811311721801758,0.7964524030685425
BraTS-GLI-00721-000,0.012621179223060608,18.988998413085938,0.6915468573570251
