,MSE,PSNR,SSIM
BraTS-GLI-00001-000,0.008056855760514736,20.938343048095703,0.7417761087417603
BraTS-GLI-00001-001,0.011390887200832367,19.434423446655273,0.7102100849151611
BraTS-GLI-00013-000,0.008517949841916561,20.6966495513916,0.8918498158454895
BraTS-GLI-00013-001,0.005418871063739061,22.660911560058594,0.8935198187828064
BraTS-GLI-00015-000,0.004427158739417791,23.538747787475586,0.8593022227287292
BraTS-GLI-00015-001,0.00881639402359724,20.547090530395508,0.7883030772209167
BraTS-GLI-00027-000,0.003494388423860073,24.566287994384766,0.8110697865486145
BraTS-GLI-00037-000,0.0044641634449362755,23.50259780883789,0.8755208849906921
BraTS-GLI-00047-000,0.007676593493670225,21.148313522338867,0.8729572892189026
BraTS-GLI-00079-000,0.002525237388908863,25.97697639465332,0.8743622899055481
BraTS-GLI-00080-000,0.0001996082137338817,36.99821090698242,0.9994450807571411
BraTS-GLI-00080-001,0.001970430137589574,27.05438995361328,0.9944339990615845
BraTS-GLI-00082-000,0.014257298782467842,18.459627151489258,0.718501091003418
BraTS-GLI-00091-000,0.012953223660588264,18.876220703125,0.6882063150405884
BraTS-GLI-00114-000,0.0001905331009766087,37.200294494628906,0.9988328218460083
BraTS-GLI-00119-000,0.010726655833423138,19.695356369018555,0.7888181209564209
BraTS-GLI-00125-000,0.001228614361025393,29.10584259033203,0.866701066493988
BraTS-GLI-00129-000,0.006048630457371473,22.183429718017578,0.8088908195495605
BraTS-GLI-00135-000,0.008751661516726017,20.57909393310547,0.7165358066558838
BraTS-GLI-00141-000,0.0005769308190792799,32.38875961303711,0.9816191792488098
BraTS-GLI-00145-000,0.0030017057433724403,25.226318359375,0.8680853247642517
BraTS-GLI-00153-000,0.013474843464791775,18.704761505126953,0.6835850477218628
BraTS-GLI-00161-000,0.013879801146686077,18.576168060302734,0.7472147345542908
BraTS-GLI-00163-000,0.006736284121870995,21.715795516967773,0.7858256101608276
BraTS-GLI-00174-000,0.006138588767498732,22.119314193725586,0.7645023465156555
BraTS-GLI-00181-000,0.00539273489266634,22.681907653808594,0.8861708641052246
BraTS-GLI-00182-000,0.003545669373124838,24.50301742553711,0.865184485912323
BraTS-GLI-00190-000,0.007449337746948004,21.27882194519043,0.7817925214767456
